What age category are you?,What's your favourite genre(s) of music?,What's your favourite genre(s) of film?,What type of art do you identify yourself with?,What's your favourite genre of music?
22 - 25,Pop,Sci-Fi,Impressionism,Puzzle
22 - 25,Jazz,Adventure,Digital,Puzzle
22 - 25,RnB,Thriller,Abstract,Puzzle
26 - 30,Afrobeats,Comedy,Digital,Puzzle
26 - 30,Afrobeats,Sci-Fi,Abstract,Puzzle
26 - 30,Afrobeats,Sci-Fi,Abstract,Puzzle
26 - 30,Country,Sci-Fi,Abstract,FPS
26 - 30,Pop,Sci-Fi,Abstract,FPS
22 - 25,Pop,Cult,Surrealism,FPS
21 - 25,Pop,Cult,Surrealism,FPS
22 - 25,Pop,Cult,Surrealism,FPS
22 - 25,Pop,Cult,Surrealism,Board Games
22 - 25,Pop,Action,Surrealism,Board Games
22 - 25,Jazz,Action,Art Noveau,RPGs
22 - 25,Rock,Action,Pop Art,RPGs
22 - 25,Rock,Horror,Pop Art,RPGs
,Rock,Horror,,Horror
,RnB,Thriller,,Horror
,RnB,Thriller,,Horror
,Jazz,Thriller,,Fantasy
,Jazz,Thriller,,Fantasy
,Jazz,Thriller,,Fighting
,Hip Hop,Comedy,,Open World
,Hip Hop,Comedy,,
,Rap,Comedy,,
,Indie,Comedy,,
,Indie,Comedy,,
,Indie,Comedy,,
,Indie,Drama,,
,Indie,Western,,
,Classical,Crime,,
,Techno,Adventure,,
,Techno,Documentary,,
,,Experimental,,
